epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss, val/cls_loss,val/dfl_loss,x/lr0,x/lr1,x/lr2
53,                 inf,3.2598,1.1561,0.64459,0.36951,0.42321,0.42321,0,0,0,0.013456,0.013456,0.013456
54,0.20857,3.2529,1.1583,0.65167,0.37029,0.42423,0.42423,0,0,0,0.013426,0.013426,0.013426
55,0.20957,3.2484,1.161,0.645,0.3719,0.42571,0.42571,0,0,0,0.013396,0.013396,0.013396
56,0.20683,3.2328,1.1572,0.64515,0.37063,0.42512,0.42512,0,0,0,0.013366,0.013366,0.013366
57,0.20876,3.2245,1.1586,0.64442,0.37038,0.42743,0.42743,0,0,0,0.013337,0.013337,0.013337
58,0.20741,3.216,1.1567,0.64968,0.36993,0.42795,0.42795,0,0,0,0.013307,0.013307,0.013307
59,                 inf,3.2159,1.1577,0.6515,0.36864,0.42865,0.42865,0,0,0,0.013277,0.013277,0.013277
60,0.20884,3.204,1.1615,0.65184,0.36829,0.4293,0.4293,0,0,0,0.013248,0.013248,0.013248
61,0.20966,3.1962,1.1598,0.65157,0.36605,0.42918,0.42918,0,0,0,0.013218,0.013218,0.013218
62,0.20409,3.1879,1.1544,0.65285,0.36743,0.42896,0.42896,0,0,0,0.013188,0.013188,0.013188
63,0.20659,3.186,1.1584,0.6494,0.36936,0.42992,0.42992,0,0,0,0.013159,0.013159,0.013159
64,0.20488,3.1844,1.1561,0.65694,0.36549,0.43109,0.43109,0,0,0,0.013129,0.013129,0.013129
65,0.20561,3.1697,1.1544,0.6607,0.36844,0.43253,0.43253,0,0,0,0.013099,0.013099,0.013099
66,0.20543,3.1662,1.1561,0.66272,0.36845,0.43363,0.43363,0,0,0,0.013069,0.013069,0.013069
67,0.20566,3.152,1.1569,0.65797,0.37009,0.43394,0.43394,0,0,0,0.01304,0.01304,0.01304
68,0.20695,3.1594,1.1576,0.66661,0.36946,0.43448,0.43448,0,0,0,0.01301,0.01301,0.01301
69,0.2009,3.1417,1.1533,0.6656,0.3693,0.4357,0.4357,0,0,0,0.01298,0.01298,0.01298
70,0.2043,3.1359,1.1553,0.6658,0.37246,0.43623,0.43623,0,0,0,0.012951,0.012951,0.012951
71,0.20318,3.1241,1.1547,0.67206,0.37473,0.43692,0.43692,0,0,0,0.012921,0.012921,0.012921
72,0.20059,3.1183,1.1533,0.66671,0.37659,0.43703,0.43703,0,0,0,0.012891,0.012891,0.012891
73,0.20178,3.1168,1.1544,0.66334,0.37737,0.4384,0.4384,0,0,0,0.012862,0.012862,0.012862
74,0.19964,3.1043,1.1512,0.67561,0.3727,0.43913,0.43913,0,0,0,0.012832,0.012832,0.012832
75,0.20171,3.0961,1.1555,0.67731,0.37464,0.4394,0.4394,0,0,0,0.012802,0.012802,0.012802
76,                 inf,3.1088,1.1551,0.67735,0.3755,0.44052,0.44052,0,0,0,0.012773,0.012773,0.012773
77,0.20376,3.095,1.1548,0.67277,0.37764,0.44124,0.44124,0,0,0,0.012743,0.012743,0.012743
78,0.20007,3.0913,1.1542,0.67766,0.377,0.44123,0.44123,0,0,0,0.012713,0.012713,0.012713
79,0.19934,3.0934,1.1515,0.67708,0.37866,0.44271,0.44271,0,0,0,0.012683,0.012683,0.012683
80,0.19963,3.078,1.154,0.67623,0.37796,0.44334,0.44334,0,0,0,0.012654,0.012654,0.012654
81,0.1999,3.0727,1.1525,0.676,0.37843,0.44399,0.44399,0,0,0,0.012624,0.012624,0.012624
82,0.20191,3.0717,1.1532,0.68113,0.37907,0.44524,0.44524,0,0,0,0.012594,0.012594,0.012594
