               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.082331,              2.2785,              1.1355,             0.84557,             0.24167,              0.3494,             0.34836,                   0,                   0,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.083689,              2.2872,               1.133,              0.5319,             0.38049,             0.39595,             0.39468,                   0,                   0,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.083489,              2.2518,              1.1311,             0.51743,             0.39953,             0.39556,             0.38793,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.080478,              2.2184,              1.1303,             0.43736,             0.38745,             0.39442,             0.39104,                   0,                   0,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.079147,              2.1982,              1.1326,             0.40091,                 0.4,             0.37167,             0.36689,                   0,                   0,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,             0.07959,              2.1923,               1.136,             0.82412,             0.26722,             0.39192,             0.39017,                   0,                   0,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.076985,              2.1573,                1.14,             0.33708,             0.47001,             0.41485,             0.41361,                   0,                   0,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.079325,              2.1278,              1.1321,             0.51037,             0.39757,             0.42472,             0.42159,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.077639,              2.1039,              1.1426,             0.56186,             0.37231,              0.3819,             0.38015,                   0,                   0,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.081392,              2.1189,              1.1321,              0.7627,             0.31641,             0.41197,             0.41038,                   0,                   0,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,            0.079978,              2.1274,              1.1345,             0.44365,             0.41885,             0.42206,             0.42206,                   0,                   0,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.078568,              2.0761,              1.1295,             0.79278,             0.34388,             0.41739,             0.41739,                   0,                   0,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.074611,              2.0156,               1.134,             0.34517,             0.47888,              0.4203,              0.4203,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.078371,              2.0358,              1.1447,             0.61297,             0.35018,             0.42426,             0.42426,                   0,                   0,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.076801,              2.0114,               1.138,             0.87487,             0.27899,             0.38775,             0.38775,                   0,                   0,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.080418,              1.9964,              1.1326,              0.4865,             0.40679,             0.44226,             0.44226,                   0,                   0,                   0,           0.0089506,           0.0089506,           0.0089506
